Booking_ID,Booking_Date,Check_In_Date,Check_Out_Date,Nights_Stayed,Room_Type,Nightly_Rate_NGN,Discount_Percent,Discounted_Nightly_Rate_NGN,Total_Revenue_NGN,Client_Segment,Company_Name,Booking_Channel,Booking_Status,Guest_Nationality,Number_of_Guests,Payment_Method,Sales_Rep,Month,Year,Quarter_Old,Quarter
BK01000,2024-10-15,2024-10-16,2024-10-18,2,Suite,136049,0,136049,272098,Corporate,Nigerian Breweries,Travel Agent,Completed,Nigerian,1,Bank Transfer,Emeka Okonkwo,October,2024,%Q,Q4
BK01001,2023-07-11,2023-08-12,2023-08-16,4,Presidential,256956,0,256956,1027824,Leisure,Individual Guest,Corporate Agreement,Completed,Nigerian,3,POS,Emeka Okonkwo,August,2023,%Q,Q3
BK01002,2023-05-17,2023-06-13,2023-06-25,12,Suite,138210,0,138210,1658520,Corporate,Glo Mobile,Online Travel Agent,Confirmed,Nigerian,3,POS,Chioma Eze,June,2023,%Q,Q2
BK01003,2024-04-08,2024-04-15,2024-04-24,9,Executive,100164,0,100164,901476,Leisure,Individual Guest,Corporate Agreement,Completed,Kenyan,1,Credit Card,Fatima Bello,April,2024,%Q,Q2
BK01004,2024-09-20,2024-11-08,2024-11-12,4,Suite,125229,0,125229,500916,MICE,Nigerian Breweries,Online Travel Agent,Completed,Ghanaian,3,Cash,Tunde Adeyemi,November,2024,%Q,Q4
BK01005,2024-10-04,2024-11-17,2024-11-22,5,Standard,64960,0,64960,324800,Group,Individual Guest,Direct,Completed,Nigerian,2,POS,Chioma Eze,November,2024,%Q,Q4
BK01006,2023-01-06,2023-02-27,2023-03-03,4,Standard,55336,5,52569,210277,Leisure,Individual Guest,Walk In,Confirmed,British,2,Cash,Direct Booking,February,2023,%Q,Q1
BK01007,2024-01-12,2024-02-10,2024-02-21,11,Deluxe,78679,20,62943,692375,Corporate,Flour Mills Nigeria,Online Travel Agent,Completed,British,2,Credit Card,Chioma Eze,February,2024,%Q,Q1
BK01008,2024-04-02,2024-05-20,2024-05-22,2,Standard,48592,20,38874,77747,Corporate,Chevron Nigeria,Online Travel Agent,Completed,Nigerian,4,POS,Emeka Okonkwo,May,2024,%Q,Q2
BK01009,2023-07-22,2023-09-15,2023-09-24,9,Standard,48753,0,48753,438777,Group,Individual Guest,Direct,Completed,British,4,Cash,Amaka Osei,September,2023,%Q,Q3
BK01010,2024-02-23,2024-04-09,2024-04-10,1,Suite,152806,0,152806,152806,MICE,Nigerian Breweries,Direct,Completed,British,2,Credit Card,Fatima Bello,April,2024,%Q,Q2
BK01011,2023-04-27,2023-06-15,2023-06-24,9,Presidential,250149,0,250149,2251341,Leisure,Individual Guest,Direct,Completed,Nigerian,1,Credit Card,Chioma Eze,June,2023,%Q,Q2
BK01012,2024-07-29,2024-08-03,2024-08-05,2,Executive,99535,0,99535,199070,Airline Crew,Nestle Nigeria,Online Travel Agent,Confirmed,Nigerian,4,POS,Chioma Eze,August,2024,%Q,Q3
BK01013,2024-05-21,2024-07-06,2024-07-19,13,Deluxe,93361,0,93361,1213693,Corporate,Nigerian Ports Authority,Online Travel Agent,Completed,Nigerian,3,Bank Transfer,Tunde Adeyemi,July,2024,%Q,Q3
BK01014,2024-08-11,2024-08-25,2024-09-03,9,Presidential,307728,10,276955,0,Corporate,Dangote Group,Walk In,Cancelled,Kenyan,2,POS,Amaka Osei,August,2024,%Q,Q3
BK01015,2024-11-03,2024-11-16,2024-11-24,8,Presidential,284684,0,284684,2277472,Group,Individual Guest,Corporate Agreement,Completed,Nigerian,2,Corporate Account,Emeka Okonkwo,November,2024,%Q,Q4
BK01016,2023-03-14,2023-04-10,2023-04-21,11,Suite,147759,5,140371,1544082,Leisure,Individual Guest,Direct,Completed,American,1,Bank Transfer,Direct Booking,April,2023,%Q,Q2
BK01017,2023-10-20,2023-12-14,2023-12-27,13,Standard,53147,0,53147,690911,Corporate,Seplat Energy,Direct,Confirmed,Nigerian,1,Corporate Account,Amaka Osei,December,2023,%Q,Q4
BK01018,2024-09-06,2024-10-29,2024-11-07,9,Standard,48056,15,40848,0,Government,PZ Cussons,Online Travel Agent,Cancelled,Nigerian,2,Bank Transfer,Emeka Okonkwo,October,2024,%Q,Q4
BK01019,2023-01-01,2023-01-03,2023-01-10,7,Executive,113694,0,113694,795858,Leisure,Individual Guest,Walk In,Completed,British,2,Corporate Account,Direct Booking,January,2023,%Q,Q1
BK01020,2023-10-28,2023-10-31,2023-11-04,4,Presidential,392133,20,313706,1254826,Corporate,Airtel Nigeria,Corporate Agreement,Confirmed,Nigerian,1,Credit Card,Fatima Bello,October,2023,%Q,Q4
